[I] 2009-03-11 14:55:36.968 (0x0AB0):ErrorCode[0]_Visual IVR Editor Started...,Version:6.9.6
[I] 2009-03-11 14:55:39.172 (0x0AB0):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2009-03-11 14:56:01.360 (0x0AB0):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:108 Callflow Name:PowerDISA
[E] 2009-03-11 14:56:01.828 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.828 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.844 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.844 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.844 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.844 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.860 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.876 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.876 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.876 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.876 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.888 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.888 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.888 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.888 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.888 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.904 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.904 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.904 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.904 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.920 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.920 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.920 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.920 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.920 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.936 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.936 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.936 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.936 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.936 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.952 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.952 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.952 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.952 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.952 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.968 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.968 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.968 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.968 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.968 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.984 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.984 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:01.984 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2009-03-11 14:56:02.000 (0x0AB0):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[I] 2009-03-11 14:56:27.048 (0x0AB0):ErrorCode[0]_Export Callflow Data to the file successful !,File Path:C:\Documents and Settings\tonysun\桌面\DISA.PVC
[E] 2009-03-11 14:56:27.048 (0x0AB0):ErrorCode[0]_Failed to export Callflow Data to the file:C:\Documents and Settings\tonysun\桌面\DISA.PVC!,
[I] 2009-03-11 14:56:39.904 (0x0AB0):ErrorCode[0]_Successful export Reource Date to the file!,File Name:C:\Documents and Settings\tonysun\桌面\DISA.CSV
[E] 2009-03-11 14:56:39.920 (0x0AB0):ErrorCode[0]_Failed to export Resource Date to the file:C:\Documents and Settings\tonysun\桌面\DISA.CSV!,
